fragile,delicate
dawn,sunrise
portion,segment
perfume,fragrance
job,occupation
chance,opportunity
many,numerous
talkative,communicative
hesitate,pause
instantly,immediately
pushed,shoved
quaking,trembling
reliable,dependable
save,rescue
law,rule
store,shop
shy,bashful
smart,intelligent
split,divided
proposal,suggestion
trip,journey
raw,uncooked
unlucky ,unfortunate
winner,victor
annually,yearly
chuckle,giggle
occurring,happening
alike,similar
approximate,estimate
innocent,blameless
commerce,business
modern,contemporary
dashed,sprinted
deceptive,misleading
disaster,catastrophe
shamed,disgraced
extra,additional
formerly,previously
glittering,sparkling
hunger,starvation
jealous,envious
liveable,habitable
nameless,anonymous
dusk,twilight
chief,principal
removable,detachable
rubbish,nonsense
shortage,scarcity
selects,chooses
self-assured,confident
substantial,considerable
surroundings,environment
foreseen,expected
variation,difference
visitor,guest
mystify,baffle
revival,restoration
verify,confirm
brisk,quick
defer,delay
intention,objective
persevered,continued
currently,presently
meticulously,carefully
